Account,date,classification,daily_pnl,trade_count,total_size_usd,avg_trade_size,wins,long_count,short_count,win_rate,ls_ratio,segment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,Greed,1555.956456,48,13556.33,282.42354166666667,15,9,39,0.3125,0.23076923076331363,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,Greed,1530.919365,66,18751.64,284.1157575757576,30,12,54,0.45454545454545453,0.222222222218107,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,Extreme Greed,101.860928,84,18806.8,223.8904761904762,28,72,12,0.3333333333333333,5.9999999995,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,Greed,388.366016,73,16192.710000000001,221.81794520547948,26,40,33,0.3561643835616438,1.2121212120844813,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,Greed,506.512551,63,10479.52,166.3415873015873,23,35,28,0.36507936507936506,1.249999999955357,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,Greed,115.51218300000001,34,4793.72,140.99176470588236,17,7,27,0.5,0.25925925924965704,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,Greed,255.808312,125,56954.43,455.63544,42,109,16,0.336,6.812499999574219,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,Greed,496.221792,107,119958.51,1121.107570093458,32,57,50,0.29906542056074764,1.1399999999772001,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,Greed,109.82694000000001,59,15537.51,263.3476271186441,21,44,15,0.3559322033898305,2.9333333331377776,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,Greed,416.546688,101,21987.03,217.69336633663366,46,25,76,0.45544554455445546,0.32894736841672434,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,Greed,250.581483,69,14983.43,217.15115942028987,36,34,35,0.5217391304347826,0.9714285714008164,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,Greed,232.66549799999999,81,12691.32,156.68296296296296,40,32,49,0.49382716049382713,0.6530612244764682,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,Greed,87.752181,82,8297.09,101.1840243902439,44,39,43,0.5365853658536586,0.9069767441649541,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,Extreme Greed,114.68421000000001,80,6566.03,82.075375,21,18,62,0.2625,0.29032258064047867,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,Extreme Greed,267.846227,103,10681.19,103.70087378640777,72,87,16,0.6990291262135923,5.437499999660156,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,Greed,651.469355,149,73008.96,489.99302013422823,85,111,38,0.5704697986577181,2.9210526315020777,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,Greed,571.688942,103,75026.01,728.4078640776698,49,64,39,0.47572815533980584,1.6410256409835635,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,Neutral,401.706348,84,43858.12,522.1204761904762,37,34,50,0.44047619047619047,0.6799999999864,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,Greed,157.228232,37,17918.2,484.2756756756757,16,18,19,0.43243243243243246,0.9473684210027701,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-12,Greed,274.773033,63,28122.33,446.3861904761905,39,29,34,0.6190476190476191,0.8529411764455018,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-13,Greed,53.846609,61,34244.06,561.3780327868852,19,49,12,0.3114754098360656,4.083333332993056,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-14,Greed,894.564828,42,41818.27,995.6730952380951,34,4,38,0.8095238095238095,0.10526315789196677,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-15,Greed,55.137803,19,4560.2,240.01052631578946,8,10,9,0.42105263157894735,1.1111111109876544,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-16,Extreme Greed,238.995461,87,11862.92,136.35540229885058,28,24,63,0.3218390804597701,0.3809523809463341,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-17,Extreme Greed,168.92152,70,8297.74,118.53914285714285,35,37,33,0.5,1.1212121211781452,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-18,Extreme Greed,594.135892,259,50558.590000000004,195.20691119691122,105,128,131,0.40540540540540543,0.9770992366337626,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-19,Extreme Greed,102.504343,184,28651.9,155.71684782608696,79,58,126,0.42934782608695654,0.460317460313807,Frequent
